,CP,CA,F,C,N,R,PRP,ASM,CON,E,ENG,IDM,DIV
62,1.093714286,28626.24794,17884.59086,0.000702616,1,333692,1.914,0.680167761,0.1181375,0.5,0.85737923,0.967217823,1
63,0.009642002,108.1479804,0.367584214,34.18536356,0.182521187,2050107.197,1.816905856,0.649182534,0.092785417,5.472233455,0.893960103,0.966509164,1
64,0.008618946,116.7924464,0.403372817,31.15232226,0.22287887,1845778.382,1.748624397,0.613832543,0.095558333,4.481381975,1.025532426,0.96448088,1
65,1.093714286,35863.87811,22406.38689,0.000560822,1,418060,1.914,0.609181747,0.106529167,0.5,1.077442304,0.959498398,1
66,0.008139082,123.9689733,0.400962139,31.3396173,0.219282574,2026855.084,1.791333037,0.591053315,0.133516667,4.554988289,1.112449132,0.954319031,1
67,0.008838767,114.6836101,0.392466922,32.01798497,0.229666067,1693149.557,1.790966048,0.635975118,0.094741667,4.348712605,0.957128596,0.964650272,1
68,0.219643979,8479.749093,1100.969746,0.011413574,0.566037735,1089678.236,1.762786256,0.473985324,0.155670833,1.650413763,1.339010946,0.941920529,2
69,1.093714286,61858.79866,38647.02448,0.000325148,1,721079,1.914,0.394791183,0.170077083,0.5,1.61073305,0.929483378,2
70,0.890232558,46600.65666,22492.21784,0.000558682,1,655721,1.914,0.452795732,0.158808333,0.6,1.331635448,0.940312705,2
71,0.770029851,35829.64251,12892.83138,0.00097465,0.625,1092385.6,1.984307692,0.42626698,0.165979167,1.2,1.487658977,0.932697444,2
72,0.00627195,184.6769879,0.263391919,47.70837339,1.122958795,563381.3128,2.568331252,0.466675903,0.155470833,0.888737048,1.332209108,0.946991288,2
73,2.247333333,62997.29323,42581.26217,0.000295106,0.375000021,1642962.574,1.733568847,0.471109378,0.166629167,1.723857433,1.391916529,0.938890802,2
74,0.625517241,25110.76244,6100.394482,0.002059867,0.636363636,1004130.286,2.015555556,0.45749981,0.140383333,1.285714286,1.374357119,0.943885514,2
75,1.093714286,46816.66154,29249.26937,0.000429618,1,545735,1.914,0.516670779,0.136929167,0.5,1.273975456,0.948956343,2
76,0.006238532,165.5246561,0.248808906,50.50462308,1.072613831,529097.2235,2.564444535,0.506595034,0.141833333,0.930450824,1.261862336,0.947873425,2
77,1.093714286,56264.66506,35152.0226,0.000357476,1,655869,1.914,0.448282835,0.178879167,0.5,1.407682456,0.934615178,2
78,0.839166667,45636.58299,22803.33779,0.00055106,1.5,490714.6667,1.801376528,0.401019537,0.1582875,0.368524242,1.500009828,0.937745441,2
79,1.093714286,55193.19245,34482.60727,0.000364416,1,643379,1.914,0.45434955,0.1567875,0.5,1.399175336,0.940396401,2
80,1.093714286,60234.1751,37632.02148,0.000333918,1,702141,1.914,0.410467351,0.21835,0.5,1.59857022,0.921472373,2
81,1.093714286,65458.74073,40896.13136,0.000307266,1,763043,1.914,0.366644987,0.231225,0.5,1.733935182,0.912165474,2
82,1.093714286,64573.3389,40342.96598,0.000311479,1,752722,1.914,0.383990976,0.192233333,0.5,1.625313586,0.923525158,2
83,0.602834646,25785.22286,6361.711666,0.001975255,0.636363636,1165776.857,2.126666667,0.3898068,0.197175,1.285714286,1.610628708,0.925892487,2
84,0.8656,42113.43806,25577.03526,0.0004913,0.750000042,813366.621,1.74877622,0.474966373,0.143625,0.861928716,1.353200921,0.943216675,2
85,0.006535176,190.816811,0.215079396,58.42493631,1.195366817,589131.2942,2.77881906,0.412004651,0.2190875,0.834972035,1.554207095,0.919381309,2
86,1.093714286,59639.76088,37260.65408,0.000337246,1,695212,1.914,0.41992086,0.176220833,0.5,1.491779074,0.932401544,2
87,1.093714286,56975.23412,35595.95912,0.000353018,1,664152,1.914,0.440451783,0.161829167,0.5,1.442702037,0.94063995,2
88,1.093714286,57165.7658,35714.99606,0.000351841,1,666373,1.914,0.439218683,0.166933333,0.5,1.427800246,0.941154357,2
89,1.007777778,51511.2197,24897.17674,0.000504716,0.8,814962.5,2.015555556,0.443598359,0.187058333,0.75,1.485060104,0.931106451,2
90,1.093714286,72627.14124,45374.67534,0.000276939,1,846604,1.914,0.320315993,0.233416667,0.5,1.875693161,0.907661602,2
91,1.093714286,63427.74682,39627.24361,0.000317105,1,739368,1.914,0.382389379,0.2233375,0.5,1.696617014,0.916046827,2
92,0.00648688,188.605127,0.20747094,60.56751854,0.867598373,803991.8263,2.847627532,0.416893711,0.2417125,1.150720914,1.559575501,0.919613382,2
93,1.093714286,69826.5572,43624.97695,0.000288046,1,813958,1.914,0.352429525,0.241833333,0.5,1.706514712,0.912371256,2
94,1.093714286,53328.88159,33317.85675,0.000377155,1,621647,1.914,0.470014465,0.148908333,0.5,1.338133408,0.945055983,2
95,1.007777778,47551.72664,24799.3019,0.000506708,1.25,519525.6,2.015555556,0.453209793,0.178116667,0.4,1.38994048,0.939449524,2
96,0.006459056,205.7743897,0.180862591,69.47815992,1.112096523,742045.3016,3.021480581,0.34342453,0.274629167,0.897686833,1.760876414,0.907424006,2
97,1.093714286,64870.07419,40528.3549,0.000310055,1,756181,1.914,0.392615158,0.221429167,0.5,1.558666853,0.920158405,2
98,1.093714286,64905.24663,40550.3293,0.000309887,1,756591,1.914,0.39387382,0.234554167,0.5,1.536600302,0.923289784,2
